brand,model,year,fuel_type,transmission,ex_showroom_price
Ford,EcoSport,2020,Diesel,Manual,1099900
Ford,EcoSport,2020,Petrol,Automatic,1149900
Ford,EcoSport,2020,Petrol,Manual,899900
Ford,EcoSport,2024,Diesel,Manual,1152783
Ford,EcoSport,2024,Petrol,Automatic,1203471
Ford,EcoSport,2024,Petrol,Manual,928688
Ford,EcoSport,2025,Diesel,Manual,1218076
Ford,EcoSport,2025,Petrol,Automatic,1283716
Ford,EcoSport,2025,Petrol,Manual,979370
Honda,Amaze,2022,Diesel,Manual,999900
Honda,Amaze,2022,Petrol,Automatic,929900
Honda,Amaze,2022,Petrol,Manual,729900
Honda,Amaze,2024,Diesel,Manual,1039950
Honda,Amaze,2024,Petrol,Automatic,973215
Honda,Amaze,2024,Petrol,Manual,761462
Honda,Amaze,2025,Diesel,Manual,1105636
Honda,Amaze,2025,Petrol,Automatic,1026108
Honda,Amaze,2025,Petrol,Manual,805262
Honda,City,2022,Petrol,Automatic,1399000
Honda,City,2022,Petrol,Manual,1199000
Honda,City,2024,Petrol,Automatic,1455269
Honda,City,2024,Petrol,Manual,1255392
Honda,City,2025,Petrol,Automatic,1554881
Honda,City,2025,Petrol,Manual,1342109
Honda,WR-V,2021,Diesel,Manual,1199000
Honda,WR-V,2021,Petrol,Automatic,1199000
Honda,WR-V,2021,Petrol,Manual,949900
Honda,WR-V,2024,Diesel,Manual,1256725
Honda,WR-V,2024,Petrol,Automatic,1237098
Honda,WR-V,2024,Petrol,Manual,991898
Honda,WR-V,2025,Diesel,Manual,1325061
Honda,WR-V,2025,Petrol,Automatic,1313669
Honda,WR-V,2025,Petrol,Manual,1048178
Hyundai,Alcazar,2022,Petrol,Automatic,2149900
Hyundai,Alcazar,2022,Petrol,Manual,1849000
Hyundai,Alcazar,2024,Petrol,Automatic,2223695
Hyundai,Alcazar,2024,Petrol,Manual,1940596
Hyundai,Alcazar,2025,Petrol,Automatic,2356497
Hyundai,Alcazar,2025,Petrol,Manual,2061595
Hyundai,Creta,2021,Diesel,Automatic,1849900
Hyundai,Creta,2021,Diesel,Manual,1349900
Hyundai,Creta,2021,Petrol,Automatic,1399900
Hyundai,Creta,2021,Petrol,Manual,1099000
Hyundai,Creta,2024,Diesel,Automatic,1939558
Hyundai,Creta,2024,Diesel,Manual,1393808
Hyundai,Creta,2024,Petrol,Automatic,1465612
Hyundai,Creta,2024,Petrol,Manual,1151363
Hyundai,Creta,2025,Diesel,Automatic,2069773
Hyundai,Creta,2025,Diesel,Manual,1475943
Hyundai,Creta,2025,Petrol,Automatic,1561034
Hyundai,Creta,2025,Petrol,Manual,1228149
Hyundai,Tucson,2021,Diesel,Automatic,3399900
Hyundai,Tucson,2021,Petrol,Automatic,3099000
Hyundai,Tucson,2024,Diesel,Automatic,3539190
Hyundai,Tucson,2024,Petrol,Automatic,3230633
Hyundai,Tucson,2025,Diesel,Automatic,3769570
Hyundai,Tucson,2025,Petrol,Automatic,3397615
Hyundai,Venue,2023,Petrol,Automatic,1149900
Hyundai,Venue,2023,Petrol,Manual,799900
Hyundai,Venue,2024,Petrol,Automatic,1196454
Hyundai,Venue,2024,Petrol,Manual,826412
Hyundai,Venue,2025,Petrol,Automatic,1269725
Hyundai,Venue,2025,Petrol,Manual,877380
Hyundai,Verna,2021,Diesel,Manual,1389900
Hyundai,Verna,2021,Petrol,Automatic,1449900
Hyundai,Verna,2021,Petrol,Manual,1099000
Hyundai,Verna,2024,Diesel,Manual,1451507
Hyundai,Verna,2024,Petrol,Automatic,1504361
Hyundai,Verna,2024,Petrol,Manual,1135692
Hyundai,Verna,2025,Diesel,Manual,1545269
Hyundai,Verna,2025,Petrol,Automatic,1595784
Hyundai,Verna,2025,Petrol,Manual,1198700
Hyundai,i20,2021,Diesel,Manual,1049900
Hyundai,i20,2021,Petrol,Automatic,1049900
Hyundai,i20,2021,Petrol,Manual,799900
Hyundai,i20,2024,Diesel,Manual,1081559
Hyundai,i20,2024,Petrol,Automatic,1088425
Hyundai,i20,2024,Petrol,Manual,824299
Hyundai,i20,2025,Diesel,Manual,1142802
Hyundai,i20,2025,Petrol,Automatic,1162359
Hyundai,i20,2025,Petrol,Manual,879478
Jeep,Compass,2019,Diesel,Automatic,2699000
Jeep,Compass,2019,Diesel,Manual,2399000
